,Open,High,Low,Close,Volume,Dividends,Stock Splits,compound
2021-04-23,239.93333435058597,245.7866668701172,238.48666381835935,243.13333129882807,85110000,0.0,0.0,0.6129186471663619
2021-04-26,247.0,249.76666259765625,244.20333862304688,246.0666656494141,93115500,0.0,0.0,0.5395531069364156
2021-04-27,239.32000732421875,241.3333282470703,234.4499969482422,234.913330078125,88311000,0.0,0.0,0.5634057251908384
2021-04-28,232.1366729736328,236.1666717529297,231.1999969482422,231.46665954589844,66813000,0.0,0.0,0.5794442849254556
2021-04-29,233.1699981689453,234.0833282470703,222.8333282470703,225.6666717529297,86536200,0.0,0.0,0.5507259423503313
2021-04-30,222.52999877929688,238.4900054931641,222.04666137695312,236.47999572753903,122276100,0.0,0.0,0.5485223654283536
2021-05-03,234.6000061035156,235.3333282470703,226.8333282470703,228.3000030517578,81129300,0.0,0.0,0.6046240181268878
2021-05-04,226.31333923339844,227.8166656494141,219.23333740234372,224.5333404541016,89217900,0.0,0.0,0.5692575984990621
2021-05-05,227.0200042724609,228.43333435058597,222.44667053222656,223.64666748046875,65705700,0.0,0.0,0.5697492406075142
2021-05-06,226.9199981689453,227.0066680908203,216.6666717529297,221.17999267578125,83353800,0.0,0.0,0.5425119739181979
2021-05-07,221.93333435058597,230.0,220.0733337402344,224.1233367919922,70407600,0.0,0.0,0.5725152128401939
2021-05-10,221.63333129882807,221.68333435058597,209.20333862304688,209.67999267578125,94177200,0.0,0.0,0.5542858809801624
2021-05-11,199.7466735839844,209.0333404541016,198.5333404541016,205.73333740234372,139511700,0.0,0.0,0.554568553459119
2021-05-12,200.8300018310547,206.80332946777344,195.58999633789065,196.6300048828125,101470800,0.0,0.0,0.5849922026431708
2021-05-13,200.51333618164065,202.15333557128903,186.5500030517578,190.56333923339844,132554700,0.0,0.0,0.546459700979554
2021-05-14,194.47000122070312,197.6233367919922,190.15333557128903,196.5800018310547,100112700,0.0,0.0,0.5505718091963896
2021-05-17,191.8500061035156,196.57666015625,187.0666656494141,192.27667236328125,97171200,0.0,0.0,0.5172181493248627
2021-05-18,189.3333282470703,198.75,187.7933349609375,192.6233367919922,110491800,0.0,0.0,0.4976421727558669
2021-05-19,184.18333435058597,188.73666381835935,182.32666015625,187.82000732421875,118735200,0.0,0.0,0.5605968583283915
2021-05-20,191.6666717529297,196.2833404541016,190.35667419433597,195.5933380126953,92463300,0.0,0.0,0.5206748700173294
2021-05-21,198.70333862304688,198.8933258056641,193.3333282470703,193.6266632080078,78091800,0.0,0.0,0.5640841895261841
2021-05-24,193.86666870117188,204.82666015625,191.21665954589844,202.14666748046875,103674300,0.0,0.0,0.5258114354066964
2021-05-25,202.4366607666016,204.663330078125,198.57000732421875,201.56333923339844,84017700,0.0,0.0,0.5831167655786351
2021-05-26,202.5200042724609,208.72332763671875,200.5,206.3766632080078,85917900,0.0,0.0,0.5244496743635282
2021-05-27,206.7466735839844,210.3766632080078,205.40333557128903,210.2833404541016,79111800,0.0,0.0,0.5892029469548131
2021-05-28,209.5,211.8633270263672,207.4600067138672,208.4066619873047,68211000,0.0,0.0,0.5555717147435902
2021-06-01,209.26666259765625,211.26666259765625,206.8500061035156,207.96665954589844,54254700,0.0,0.0,0.5585416386083049
2021-06-02,206.7100067138672,207.7866668701172,199.7133331298828,201.7066650390625,69908400,0.0,0.0,0.5397262610088069
2021-06-03,200.6000061035156,201.51666259765625,190.4066619873047,190.94667053222656,90335700,0.0,0.0,0.5406491810535631
2021-06-04,193.23666381835935,200.20333862304688,192.3999938964844,199.68333435058597,72110700,0.0,0.0,0.5135414231856742
2021-06-07,197.27667236328125,203.3333282470703,194.2933349609375,201.7100067138672,67631100,0.0,0.0,0.501660678759508
2021-06-08,207.6699981689453,207.69667053222656,198.5,201.19667053222656,78160200,0.0,0.0,0.5191184869739474
2021-06-09,200.72332763671875,203.92999267578125,199.2100067138672,199.5933380126953,49753800,0.0,0.0,0.5753236510791364
2021-06-10,201.2933349609375,205.52999877929688,200.1666717529297,203.3733367919922,71758800,0.0,0.0,0.5431951313755785
2021-06-11,203.41000366210935,204.1866607666016,200.5066680908203,203.29666137695312,48615900,0.0,0.0,0.5118741087083576
2021-06-14,204.07666015625,208.4966735839844,203.05999755859372,205.89666748046875,61272000,0.0,0.0,0.5633384113166484
2021-06-15,205.56333923339844,205.5966644287109,199.41000366210935,199.7866668701172,53292300,0.0,0.0,0.5339515057113187
2021-06-16,199.17999267578125,202.8333282470703,197.8333282470703,201.6233367919922,66432300,0.0,0.0,0.5758719999999994
2021-06-17,200.6300048828125,207.1566619873047,200.44667053222656,205.5333404541016,68104200,0.0,0.0,0.5677875354107647
